shard 6/8: 63602 of 508818 configurations
  shard 6: d=39 22265 counted, 0 still rejected, best 727 (5987s)
  shard 6: d=277 22405 counted, 0 still rejected, best 727 (6024s)
  shard 6: d=609 22545 counted, 0 still rejected, best 727 (6061s)
  shard 6: d=1033 22685 counted, 0 still rejected, best 727 (6099s)
  shard 6: d=1549 22825 counted, 0 still rejected, best 727 (6137s)
  shard 6: d=3441 22965 counted, 0 still rejected, best 727 (6174s)
  shard 6: d=305 23104 counted, 0 still rejected, best 727 (6214s)
  shard 6: d=309 23243 counted, 0 still rejected, best 727 (6251s)
  shard 6: d=457 23382 counted, 0 still rejected, best 727 (6290s)
  shard 6: d=993 23521 counted, 0 still rejected, best 727 (6327s)
  shard 6: d=3193 23660 counted, 0 still rejected, best 727 (6363s)
  shard 6: d=233 23798 counted, 0 still rejected, best 727 (6402s)
  shard 6: d=254 23936 counted, 0 still rejected, best 727 (6438s)
  shard 6: d=321 24074 counted, 0 still rejected, best 727 (6476s)
  shard 6: d=379 24212 counted, 0 still rejected, best 727 (6513s)
  shard 6: d=1171 24350 counted, 0 still rejected, best 727 (6549s)
  shard 6: d=1361 24488 counted, 0 still rejected, best 727 (6587s)
  shard 6: d=1581 24626 counted, 0 still rejected, best 727 (6620s)
  shard 6: d=1641 24764 counted, 0 still rejected, best 727 (6652s)
  shard 6: d=1861 24902 counted, 0 still rejected, best 727 (6685s)
  shard 6: d=1966 25040 counted, 0 still rejected, best 727 (6718s)
  shard 6: d=3529 25178 counted, 0 still rejected, best 727 (6750s)
  shard 6: d=4209 25316 counted, 0 still rejected, best 727 (6783s)
  shard 6: d=5185 25454 counted, 0 still rejected, best 727 (6815s)
  shard 6: d=7465 25592 counted, 0 still rejected, best 727 (6848s)
  shard 6: d=8529 25730 counted, 0 still rejected, best 727 (6881s)
  shard 6: d=93 25864 counted, 0 still rejected, best 727 (6913s)
  shard 6: d=337 25998 counted, 0 still rejected, best 727 (6945s)
  shard 6: d=3089 26130 counted, 0 still rejected, best 727 (6977s)
  shard 6: d=35401 26262 counted, 0 still rejected, best 727 (7010s)
  shard 6: d=59761 26393 counted, 0 still rejected, best 727 (7042s)
  shard 6: d=62041 26522 counted, 0 still rejected, best 727 (7080s)
  shard 6: d=834 26648 counted, 0 still rejected, best 727 (7111s)
  shard 6: d=510 26773 counted, 0 still rejected, best 727 (7142s)
  shard 6: d=2190 26898 counted, 0 still rejected, best 727 (7173s)
  shard 6: d=43 27022 counted, 0 still rejected, best 727 (7203s)
  shard 6: d=102 27146 counted, 0 still rejected, best 727 (7234s)
  shard 6: d=226 27269 counted, 0 still rejected, best 727 (7263s)
  shard 6: d=417 27392 counted, 0 still rejected, best 727 (7293s)
  shard 6: d=1081 27515 counted, 0 still rejected, best 727 (7323s)
  shard 6: d=1465 27638 counted, 0 still rejected, best 727 (7353s)
  shard 6: d=5977 27761 counted, 0 still rejected, best 727 (7384s)
  shard 6: d=1126 27883 counted, 0 still rejected, best 727 (7414s)
  shard 6: d=3313 28005 counted, 0 still rejected, best 727 (7444s)
  shard 6: d=9089 28127 counted, 0 still rejected, best 727 (7475s)
  shard 6: d=129 28248 counted, 0 still rejected, best 727 (7505s)
  shard 6: d=697 28369 counted, 0 still rejected, best 727 (7535s)
  shard 6: d=2113 28490 counted, 0 still rejected, best 727 (7565s)
  shard 6: d=2201 28611 counted, 0 still rejected, best 727 (7594s)
  shard 6: d=87 28731 counted, 0 still rejected, best 727 (7624s)
  shard 6: d=466 28851 counted, 0 still rejected, best 727 (7653s)
  shard 6: d=66 28970 counted, 0 still rejected, best 727 (7683s)
  shard 6: d=897 29086 counted, 0 still rejected, best 727 (7712s)
  shard 6: d=9769 29201 counted, 0 still rejected, best 727 (7740s)
  shard 6: d=43921 29316 counted, 0 still rejected, best 727 (7770s)
  shard 6: d=817 29430 counted, 0 still rejected, best 727 (7799s)
  shard 6: d=29401 29542 counted, 0 still rejected, best 727 (7827s)
  shard 6: d=745 29650 counted, 0 still rejected, best 727 (7854s)
  shard 6: d=806 29758 counted, 0 still rejected, best 727 (7881s)
  shard 6: d=537 29865 counted, 0 still rejected, best 727 (7907s)
  shard 6: d=82 29971 counted, 0 still rejected, best 727 (7933s)
  shard 6: d=119 30076 counted, 0 still rejected, best 727 (7959s)
  shard 6: d=185 30181 counted, 0 still rejected, best 727 (7985s)
  shard 6: d=249 30286 counted, 0 still rejected, best 727 (8010s)
  shard 6: d=489 30391 counted, 0 still rejected, best 727 (8036s)
  shard 6: d=1417 30496 counted, 0 still rejected, best 727 (8062s)
  shard 6: d=2377 30601 counted, 0 still rejected, best 727 (8087s)
  shard 6: d=23761 30706 counted, 0 still rejected, best 727 (8114s)
  shard 6: d=709 30810 counted, 0 still rejected, best 727 (8139s)
  shard 6: d=849 30914 counted, 0 still rejected, best 727 (8164s)
