shard 0/8: 63603 of 508818 configurations
  shard 0: d=5 400 counted, 0 still rejected, best 721 (80s)
  shard 0: d=5 800 counted, 0 still rejected, best 721 (161s)
  shard 0: d=5 1101 counted, 0 still rejected, best 721 (226s)
  shard 0: d=17 1501 counted, 0 still rejected, best 721 (307s)
  shard 0: d=17 1901 counted, 0 still rejected, best 721 (392s)
  shard 0: d=17 1922 counted, 0 still rejected, best 721 (397s)
  shard 0: d=6 2322 counted, 0 still rejected, best 723 (489s)
  shard 0: d=6 2516 counted, 0 still rejected, best 723 (534s)
  shard 0: d=481 2916 counted, 0 still rejected, best 723 (622s)
  shard 0: d=481 3095 counted, 0 still rejected, best 723 (662s)
  shard 0: d=145 3495 counted, 0 still rejected, best 723 (750s)
  shard 0: d=145 3651 counted, 0 still rejected, best 723 (787s)
  shard 0: d=465 4051 counted, 0 still rejected, best 723 (880s)
  shard 0: d=465 4068 counted, 0 still rejected, best 723 (884s)
  shard 0: d=161 4468 counted, 0 still rejected, best 723 (971s)
  shard 0: d=161 4482 counted, 0 still rejected, best 723 (974s)
  shard 0: d=41 4882 counted, 0 still rejected, best 723 (1063s)
  shard 0: d=41 4891 counted, 0 still rejected, best 723 (1065s)
  shard 0: d=13 5291 counted, 0 still rejected, best 727 (1154s)
  shard 0: d=13 5295 counted, 0 still rejected, best 727 (1155s)
  shard 0: d=2 5681 counted, 0 still rejected, best 727 (1253s)
  shard 0: d=73 6062 counted, 0 still rejected, best 727 (1342s)
  shard 0: d=3 6432 counted, 0 still rejected, best 727 (1435s)
  shard 0: d=15 6802 counted, 0 still rejected, best 727 (1518s)
  shard 0: d=19 7170 counted, 0 still rejected, best 727 (1602s)
  shard 0: d=115 7523 counted, 0 still rejected, best 727 (1717s)
  shard 0: d=21 7861 counted, 0 still rejected, best 727 (1811s)
  shard 0: d=10 8198 counted, 0 still rejected, best 727 (1900s)
  shard 0: d=7 8533 counted, 0 still rejected, best 727 (1985s)
  shard 0: d=177 8853 counted, 0 still rejected, best 727 (2065s)
  shard 0: d=281 9166 counted, 0 still rejected, best 727 (2143s)
  shard 0: d=57 9475 counted, 0 still rejected, best 727 (2220s)
  shard 0: d=61 9781 counted, 0 still rejected, best 727 (2294s)
  shard 0: d=85 10080 counted, 0 still rejected, best 727 (2363s)
  shard 0: d=137 10377 counted, 0 still rejected, best 727 (2431s)
  shard 0: d=313 10669 counted, 0 still rejected, best 727 (2500s)
  shard 0: d=241 10957 counted, 0 still rejected, best 727 (2567s)
  shard 0: d=265 11238 counted, 0 still rejected, best 727 (2634s)
  shard 0: d=505 11517 counted, 0 still rejected, best 727 (2710s)
  shard 0: d=201 11787 counted, 0 still rejected, best 727 (2790s)
  shard 0: d=30 12051 counted, 0 still rejected, best 727 (2855s)
  shard 0: d=521 12313 counted, 0 still rejected, best 727 (2916s)
  shard 0: d=1105 12572 counted, 0 still rejected, best 727 (2978s)
  shard 0: d=33 12829 counted, 0 still rejected, best 727 (3039s)
  shard 0: d=97 13081 counted, 0 still rejected, best 727 (3107s)
  shard 0: d=217 13331 counted, 0 still rejected, best 727 (3167s)
  shard 0: d=11 13580 counted, 0 still rejected, best 727 (3226s)
  shard 0: d=601 13829 counted, 0 still rejected, best 727 (3285s)
  shard 0: d=89 14077 counted, 0 still rejected, best 727 (3344s)
  shard 0: d=433 14322 counted, 0 still rejected, best 727 (3401s)
  shard 0: d=193 14565 counted, 0 still rejected, best 727 (3467s)
  shard 0: d=8761 14808 counted, 0 still rejected, best 727 (3911s)
  shard 0: d=58 15048 counted, 0 still rejected, best 727 (4128s)
  shard 0: d=901 15272 counted, 0 still rejected, best 727 (4176s)
  shard 0: d=721 15488 counted, 0 still rejected, best 727 (4227s)
  shard 0: d=149 15702 counted, 0 still rejected, best 727 (4280s)
  shard 0: d=785 15910 counted, 0 still rejected, best 727 (4333s)
  shard 0: d=8545 16118 counted, 0 still rejected, best 727 (4385s)
  shard 0: d=7369 16325 counted, 0 still rejected, best 727 (4437s)
  shard 0: d=9049 16532 counted, 0 still rejected, best 727 (4489s)
  shard 0: d=769 16738 counted, 0 still rejected, best 727 (4542s)
  shard 0: d=1201 16934 counted, 0 still rejected, best 727 (4593s)
  shard 0: d=34 17128 counted, 0 still rejected, best 727 (4641s)
  shard 0: d=329 17322 counted, 0 still rejected, best 727 (4690s)
