[    87s] 10 tested, 0 violations, 1 equalities, m=F in 10
[   187s] 20 tested, 0 violations, 3 equalities, m=F in 20
[   422s] 30 tested, 0 violations, 3 equalities, m=F in 30
[   545s] 40 tested, 0 violations, 4 equalities, m=F in 40
[   825s] 50 tested, 0 violations, 5 equalities, m=F in 50
[   936s] 60 tested, 0 violations, 5 equalities, m=F in 60
[  1172s] 70 tested, 0 violations, 7 equalities, m=F in 70
[  1408s] 80 tested, 0 violations, 8 equalities, m=F in 80
[  1705s] 90 tested, 0 violations, 8 equalities, m=F in 90
[  1887s] 100 tested, 0 violations, 8 equalities, m=F in 100
[  2109s] 110 tested, 0 violations, 10 equalities, m=F in 110
[  2181s] 120 tested, 0 violations, 12 equalities, m=F in 120
[  2448s] 130 tested, 0 violations, 13 equalities, m=F in 130
[  2660s] 140 tested, 0 violations, 13 equalities, m=F in 140
[  2799s] 150 tested, 0 violations, 14 equalities, m=F in 150
[  3025s] 160 tested, 0 violations, 14 equalities, m=F in 160
[  3144s] 170 tested, 0 violations, 14 equalities, m=F in 170
[  3230s] 180 tested, 0 violations, 14 equalities, m=F in 180
[  3365s] 190 tested, 0 violations, 15 equalities, m=F in 190
[  3577s] 200 tested, 0 violations, 15 equalities, m=F in 200
[  3692s] 210 tested, 0 violations, 15 equalities, m=F in 210
[  3893s] 220 tested, 0 violations, 15 equalities, m=F in 220
[  4082s] 230 tested, 0 violations, 16 equalities, m=F in 230
[  4184s] 240 tested, 0 violations, 18 equalities, m=F in 240
[  4316s] 250 tested, 0 violations, 18 equalities, m=F in 250
[  4702s] 260 tested, 0 violations, 19 equalities, m=F in 260
[  4895s] 270 tested, 0 violations, 19 equalities, m=F in 270
[  5000s] 280 tested, 0 violations, 19 equalities, m=F in 280
[  5087s] 290 tested, 0 violations, 19 equalities, m=F in 290
[  5228s] 300 tested, 0 violations, 21 equalities, m=F in 300
[  5433s] 310 tested, 0 violations, 22 equalities, m=F in 310
[  5581s] 320 tested, 0 violations, 24 equalities, m=F in 320
[  5686s] 330 tested, 0 violations, 25 equalities, m=F in 330
[  6013s] 340 tested, 0 violations, 25 equalities, m=F in 340
[  6281s] 350 tested, 0 violations, 26 equalities, m=F in 350
[  6376s] 360 tested, 0 violations, 27 equalities, m=F in 360
[  6624s] 370 tested, 0 violations, 28 equalities, m=F in 370
[  6745s] 380 tested, 0 violations, 28 equalities, m=F in 380
[  6919s] 390 tested, 0 violations, 28 equalities, m=F in 390
[  7020s] 400 tested, 0 violations, 30 equalities, m=F in 400
[  7288s] 410 tested, 0 violations, 30 equalities, m=F in 410
[  7480s] 420 tested, 0 violations, 30 equalities, m=F in 420
[  7840s] 430 tested, 0 violations, 30 equalities, m=F in 430
[  8130s] 440 tested, 0 violations, 30 equalities, m=F in 440
[  8236s] 450 tested, 0 violations, 31 equalities, m=F in 450
[  8342s] 460 tested, 0 violations, 31 equalities, m=F in 460
[  8515s] 470 tested, 0 violations, 32 equalities, m=F in 470
[  8675s] 480 tested, 0 violations, 33 equalities, m=F in 480
[  8732s] 490 tested, 0 violations, 33 equalities, m=F in 490
[  8941s] 500 tested, 0 violations, 33 equalities, m=F in 500
[  9217s] 510 tested, 0 violations, 33 equalities, m=F in 510
[  9385s] 520 tested, 0 violations, 35 equalities, m=F in 520
[  9495s] 530 tested, 0 violations, 36 equalities, m=F in 530
[  9628s] 540 tested, 0 violations, 37 equalities, m=F in 540
[  9908s] 550 tested, 0 violations, 38 equalities, m=F in 550
[ 10044s] 560 tested, 0 violations, 38 equalities, m=F in 560
[ 10287s] 570 tested, 0 violations, 38 equalities, m=F in 570
[ 10432s] 580 tested, 0 violations, 38 equalities, m=F in 580
[ 10505s] 590 tested, 0 violations, 38 equalities, m=F in 590
[ 10643s] 600 tested, 0 violations, 39 equalities, m=F in 600
[ 10786s] 610 tested, 0 violations, 39 equalities, m=F in 610
[ 10844s] 620 tested, 0 violations, 39 equalities, m=F in 620
[ 10932s] 630 tested, 0 violations, 41 equalities, m=F in 630
[ 11094s] 640 tested, 0 violations, 41 equalities, m=F in 640
[ 11227s] 650 tested, 0 violations, 41 equalities, m=F in 650
[ 11374s] 660 tested, 0 violations, 42 equalities, m=F in 660
[ 11456s] 670 tested, 0 violations, 42 equalities, m=F in 670
[ 11828s] 680 tested, 0 violations, 42 equalities, m=F in 680
[ 12078s] 690 tested, 0 violations, 42 equalities, m=F in 690
[ 12195s] 700 tested, 0 violations, 42 equalities, m=F in 700
[ 12265s] 710 tested, 0 violations, 42 equalities, m=F in 710
[ 12423s] 720 tested, 0 violations, 43 equalities, m=F in 720
[ 12620s] 730 tested, 0 violations, 47 equalities, m=F in 730
[ 12712s] 740 tested, 0 violations, 47 equalities, m=F in 740
[ 12871s] 750 tested, 0 violations, 47 equalities, m=F in 750
[ 12990s] 760 tested, 0 violations, 47 equalities, m=F in 760
[ 13142s] 770 tested, 0 violations, 49 equalities, m=F in 770
[ 13288s] 780 tested, 0 violations, 49 equalities, m=F in 780
[ 13389s] 790 tested, 0 violations, 51 equalities, m=F in 790
[ 13595s] 800 tested, 0 violations, 53 equalities, m=F in 800
[ 13752s] 810 tested, 0 violations, 53 equalities, m=F in 810
[ 13838s] 820 tested, 0 violations, 53 equalities, m=F in 820
[ 13877s] 830 tested, 0 violations, 54 equalities, m=F in 830
[ 13995s] 840 tested, 0 violations, 54 equalities, m=F in 840
[ 14063s] 850 tested, 0 violations, 54 equalities, m=F in 850
[ 14328s] 860 tested, 0 violations, 56 equalities, m=F in 860
[ 14398s] 870 tested, 0 violations, 56 equalities, m=F in 870
[ 14492s] 880 tested, 0 violations, 57 equalities, m=F in 880
[ 14587s] 890 tested, 0 violations, 58 equalities, m=F in 890
[ 14650s] 900 tested, 0 violations, 58 equalities, m=F in 900
[ 14719s] 910 tested, 0 violations, 60 equalities, m=F in 910
[ 14797s] 920 tested, 0 violations, 61 equalities, m=F in 920
[ 14915s] 930 tested, 0 violations, 61 equalities, m=F in 930
[ 15001s] 940 tested, 0 violations, 62 equalities, m=F in 940
[ 15086s] 950 tested, 0 violations, 64 equalities, m=F in 950
[ 15195s] 960 tested, 0 violations, 64 equalities, m=F in 960
[ 15278s] 970 tested, 0 violations, 67 equalities, m=F in 970
[ 15364s] 980 tested, 0 violations, 67 equalities, m=F in 980
[ 15419s] 990 tested, 0 violations, 69 equalities, m=F in 990
[ 15565s] 1000 tested, 0 violations, 70 equalities, m=F in 1000
[ 15825s] 1010 tested, 0 violations, 72 equalities, m=F in 1010
[ 16011s] 1020 tested, 0 violations, 73 equalities, m=F in 1020
[ 16152s] 1030 tested, 0 violations, 75 equalities, m=F in 1030
[ 16209s] 1040 tested, 0 violations, 76 equalities, m=F in 1040
[ 16432s] 1050 tested, 0 violations, 76 equalities, m=F in 1050
[ 16492s] 1060 tested, 0 violations, 76 equalities, m=F in 1060
[ 16593s] 1070 tested, 0 violations, 76 equalities, m=F in 1070
[ 16889s] 1080 tested, 0 violations, 77 equalities, m=F in 1080
[ 17048s] 1090 tested, 0 violations, 77 equalities, m=F in 1090
[ 17099s] 1100 tested, 0 violations, 77 equalities, m=F in 1100
[ 17300s] 1110 tested, 0 violations, 79 equalities, m=F in 1110
[ 17530s] 1120 tested, 0 violations, 80 equalities, m=F in 1120
[ 17693s] 1130 tested, 0 violations, 81 equalities, m=F in 1130
[ 17725s] 1140 tested, 0 violations, 81 equalities, m=F in 1140
[ 17754s] 1150 tested, 0 violations, 81 equalities, m=F in 1150
[ 17981s] 1160 tested, 0 violations, 82 equalities, m=F in 1160
done: 1164 tested, 0 violations
