shard 2: 20000 rows, 0.0 h elapsed
shard 2: 40000 rows, 0.1 h elapsed
shard 2: 60000 rows, 0.1 h elapsed
shard 2: 80000 rows, 0.1 h elapsed
shard 2: 100000 rows, 0.2 h elapsed
shard 2: 120000 rows, 0.2 h elapsed
shard 2: 140000 rows, 0.2 h elapsed
shard 2: 160000 rows, 0.3 h elapsed
shard 2: 180000 rows, 0.3 h elapsed
shard 2: 200000 rows, 0.4 h elapsed
shard 2: 220000 rows, 0.4 h elapsed
shard 2: 240000 rows, 0.5 h elapsed
shard 2: 260000 rows, 0.5 h elapsed
shard 2: 280000 rows, 0.5 h elapsed
shard 2: 300000 rows, 0.6 h elapsed
shard 2: 320000 rows, 0.6 h elapsed
shard 2: 340000 rows, 0.7 h elapsed
shard 2: 360000 rows, 0.7 h elapsed
shard 2: 380000 rows, 0.8 h elapsed
shard 2: 400000 rows, 0.9 h elapsed
shard 2: 420000 rows, 0.9 h elapsed
shard 2: 440000 rows, 1.0 h elapsed
shard 2: 460000 rows, 1.1 h elapsed
shard 2: 480000 rows, 1.1 h elapsed
shard 2: 500000 rows, 1.2 h elapsed
shard 2: 520000 rows, 1.3 h elapsed
shard 2: 540000 rows, 1.3 h elapsed
shard 2: 560000 rows, 1.4 h elapsed
shard 2: 580000 rows, 1.4 h elapsed
shard 2: 600000 rows, 1.5 h elapsed
shard 2: 620000 rows, 1.5 h elapsed
shard 2: 640000 rows, 1.6 h elapsed
shard 2: 660000 rows, 1.6 h elapsed
shard 2: 680000 rows, 1.7 h elapsed
shard 2: 700000 rows, 1.7 h elapsed
shard 2: 720000 rows, 1.8 h elapsed
shard 2: 740000 rows, 1.9 h elapsed
shard 2: 760000 rows, 2.0 h elapsed
shard 2: 780000 rows, 2.0 h elapsed
shard 2 done: 783873 rows
