census n=4 ensemble=mixed shard=a0  (0 already recorded) -> census_n4_mixed_a0.jsonl
   6650 recorded, 8 unevaluable, 482.2/min
   6700 recorded, 8 unevaluable, 482.8/min
   6750 recorded, 8 unevaluable, 483.4/min
   6800 recorded, 9 unevaluable, 484.1/min
   6850 recorded, 9 unevaluable, 484.5/min
   6900 recorded, 9 unevaluable, 485.1/min
   6950 recorded, 9 unevaluable, 485.8/min
   7000 recorded, 9 unevaluable, 486.6/min
   7050 recorded, 9 unevaluable, 487.3/min
   7100 recorded, 9 unevaluable, 488.0/min
   7150 recorded, 9 unevaluable, 488.6/min
   7200 recorded, 9 unevaluable, 489.1/min
   7250 recorded, 9 unevaluable, 489.8/min
   7300 recorded, 9 unevaluable, 490.6/min
   7350 recorded, 10 unevaluable, 491.1/min
   7400 recorded, 10 unevaluable, 491.8/min
   7450 recorded, 10 unevaluable, 491.9/min
   7500 recorded, 10 unevaluable, 492.3/min
   7550 recorded, 10 unevaluable, 492.8/min
   7600 recorded, 10 unevaluable, 493.6/min
   7650 recorded, 10 unevaluable, 494.1/min
   7700 recorded, 10 unevaluable, 494.7/min
   7750 recorded, 10 unevaluable, 495.3/min
   7800 recorded, 10 unevaluable, 495.4/min
   7850 recorded, 10 unevaluable, 495.9/min
   7900 recorded, 10 unevaluable, 496.7/min
   7950 recorded, 10 unevaluable, 497.3/min
   8000 recorded, 10 unevaluable, 497.8/min
   8050 recorded, 10 unevaluable, 498.4/min
   8100 recorded, 10 unevaluable, 499.0/min
   8150 recorded, 10 unevaluable, 499.4/min
   8200 recorded, 10 unevaluable, 500.1/min
   8250 recorded, 10 unevaluable, 500.4/min
   8300 recorded, 10 unevaluable, 500.9/min
   8350 recorded, 10 unevaluable, 501.4/min
   8400 recorded, 10 unevaluable, 501.9/min
   8450 recorded, 10 unevaluable, 502.1/min
   8500 recorded, 10 unevaluable, 502.8/min
   8550 recorded, 10 unevaluable, 503.2/min
   8600 recorded, 10 unevaluable, 503.4/min
   8650 recorded, 10 unevaluable, 503.6/min
   8700 recorded, 10 unevaluable, 503.9/min
   8750 recorded, 10 unevaluable, 504.2/min
   8800 recorded, 10 unevaluable, 504.8/min
   8850 recorded, 10 unevaluable, 505.3/min
   8900 recorded, 10 unevaluable, 505.8/min
   8950 recorded, 10 unevaluable, 506.2/min
   9000 recorded, 10 unevaluable, 505.6/min
   9050 recorded, 10 unevaluable, 506.1/min
