census n=4 ensemble=project shard=a0  (19034 already recorded) -> census_n4_project_a0.jsonl
   6650 recorded, 0 unevaluable, 428.4/min
   6700 recorded, 0 unevaluable, 428.5/min
   6750 recorded, 0 unevaluable, 428.6/min
   6800 recorded, 0 unevaluable, 428.7/min
   6850 recorded, 0 unevaluable, 428.9/min
   6900 recorded, 0 unevaluable, 428.7/min
   6950 recorded, 0 unevaluable, 429.0/min
   7000 recorded, 0 unevaluable, 429.0/min
   7050 recorded, 0 unevaluable, 429.3/min
   7100 recorded, 0 unevaluable, 429.8/min
   7150 recorded, 0 unevaluable, 429.9/min
   7200 recorded, 0 unevaluable, 429.7/min
   7250 recorded, 0 unevaluable, 428.2/min
   7300 recorded, 0 unevaluable, 427.9/min
   7350 recorded, 0 unevaluable, 428.2/min
   7400 recorded, 0 unevaluable, 428.2/min
   7450 recorded, 0 unevaluable, 428.5/min
   7500 recorded, 0 unevaluable, 429.1/min
   7550 recorded, 0 unevaluable, 428.9/min
   7600 recorded, 0 unevaluable, 429.3/min
   7650 recorded, 0 unevaluable, 429.2/min
   7700 recorded, 0 unevaluable, 429.2/min
   7750 recorded, 0 unevaluable, 429.1/min
   7800 recorded, 0 unevaluable, 429.6/min
   7850 recorded, 0 unevaluable, 429.9/min
   7900 recorded, 0 unevaluable, 430.4/min
   7950 recorded, 0 unevaluable, 430.9/min
   8000 recorded, 0 unevaluable, 431.4/min
   8050 recorded, 0 unevaluable, 431.9/min
   8100 recorded, 0 unevaluable, 432.6/min
   8150 recorded, 0 unevaluable, 433.3/min
   8200 recorded, 0 unevaluable, 433.9/min
   8250 recorded, 0 unevaluable, 434.8/min
   8300 recorded, 0 unevaluable, 435.5/min
   8350 recorded, 0 unevaluable, 436.3/min
   8400 recorded, 0 unevaluable, 437.2/min
   8450 recorded, 0 unevaluable, 437.7/min
   8500 recorded, 0 unevaluable, 438.6/min
   8550 recorded, 0 unevaluable, 439.2/min
   8600 recorded, 0 unevaluable, 440.0/min
   8650 recorded, 0 unevaluable, 440.9/min
   8700 recorded, 0 unevaluable, 441.7/min
   8750 recorded, 0 unevaluable, 442.5/min
   8800 recorded, 0 unevaluable, 443.2/min
   8850 recorded, 0 unevaluable, 444.1/min
   8900 recorded, 0 unevaluable, 444.9/min
   8950 recorded, 0 unevaluable, 445.8/min
   9000 recorded, 0 unevaluable, 446.6/min
   9050 recorded, 0 unevaluable, 447.4/min
   9100 recorded, 0 unevaluable, 448.2/min
   9150 recorded, 0 unevaluable, 449.0/min
   9200 recorded, 0 unevaluable, 449.9/min
   9250 recorded, 0 unevaluable, 450.8/min
   9300 recorded, 0 unevaluable, 451.6/min
   9350 recorded, 0 unevaluable, 452.5/min
   9400 recorded, 0 unevaluable, 453.1/min
   9450 recorded, 0 unevaluable, 454.0/min
   9500 recorded, 0 unevaluable, 454.7/min
   9550 recorded, 0 unevaluable, 455.6/min
   9600 recorded, 0 unevaluable, 456.2/min
   9650 recorded, 0 unevaluable, 456.8/min
   9700 recorded, 0 unevaluable, 457.6/min
   9750 recorded, 0 unevaluable, 458.3/min
   9800 recorded, 0 unevaluable, 459.1/min
   9850 recorded, 0 unevaluable, 459.8/min
   9900 recorded, 0 unevaluable, 460.6/min
   9950 recorded, 0 unevaluable, 461.2/min
   10000 recorded, 0 unevaluable, 462.0/min
   10050 recorded, 0 unevaluable, 462.8/min
   10100 recorded, 0 unevaluable, 463.5/min
   10150 recorded, 0 unevaluable, 464.3/min
   10200 recorded, 0 unevaluable, 465.0/min
   10250 recorded, 0 unevaluable, 465.7/min
