shard 7/8: 63602 of 508818 configurations
  shard 7: d=5 400 counted, 0 still rejected, best 721 (80s)
  shard 7: d=5 800 counted, 0 still rejected, best 721 (162s)
  shard 7: d=5 1101 counted, 0 still rejected, best 721 (226s)
  shard 7: d=17 1501 counted, 0 still rejected, best 721 (309s)
  shard 7: d=17 1901 counted, 0 still rejected, best 721 (394s)
  shard 7: d=17 1923 counted, 0 still rejected, best 721 (399s)
  shard 7: d=6 2323 counted, 0 still rejected, best 723 (491s)
  shard 7: d=6 2518 counted, 0 still rejected, best 723 (536s)
  shard 7: d=481 2918 counted, 0 still rejected, best 723 (624s)
  shard 7: d=481 3097 counted, 0 still rejected, best 723 (664s)
  shard 7: d=145 3497 counted, 0 still rejected, best 723 (753s)
  shard 7: d=145 3653 counted, 0 still rejected, best 723 (790s)
  shard 7: d=465 4053 counted, 0 still rejected, best 723 (883s)
  shard 7: d=465 4069 counted, 0 still rejected, best 723 (887s)
  shard 7: d=161 4469 counted, 0 still rejected, best 723 (975s)
  shard 7: d=161 4483 counted, 0 still rejected, best 723 (978s)
  shard 7: d=41 4883 counted, 0 still rejected, best 723 (1067s)
  shard 7: d=41 4892 counted, 0 still rejected, best 723 (1069s)
  shard 7: d=13 5292 counted, 0 still rejected, best 727 (1158s)
  shard 7: d=13 5295 counted, 0 still rejected, best 727 (1159s)
  shard 7: d=2 5680 counted, 0 still rejected, best 727 (1256s)
  shard 7: d=73 6061 counted, 0 still rejected, best 727 (1345s)
  shard 7: d=3 6431 counted, 0 still rejected, best 727 (1438s)
  shard 7: d=15 6801 counted, 0 still rejected, best 727 (1521s)
  shard 7: d=19 7168 counted, 0 still rejected, best 727 (1604s)
  shard 7: d=115 7521 counted, 0 still rejected, best 727 (1721s)
  shard 7: d=10 7859 counted, 0 still rejected, best 727 (1815s)
  shard 7: d=21 8197 counted, 0 still rejected, best 727 (1904s)
  shard 7: d=7 8531 counted, 0 still rejected, best 727 (1989s)
  shard 7: d=177 8852 counted, 0 still rejected, best 727 (2069s)
  shard 7: d=281 9164 counted, 0 still rejected, best 727 (2147s)
  shard 7: d=57 9472 counted, 0 still rejected, best 727 (2224s)
  shard 7: d=61 9777 counted, 0 still rejected, best 727 (2297s)
  shard 7: d=85 10075 counted, 0 still rejected, best 727 (2366s)
  shard 7: d=137 10372 counted, 0 still rejected, best 727 (2435s)
  shard 7: d=313 10665 counted, 0 still rejected, best 727 (2504s)
  shard 7: d=241 10952 counted, 0 still rejected, best 727 (2571s)
  shard 7: d=265 11232 counted, 0 still rejected, best 727 (2638s)
  shard 7: d=505 11511 counted, 0 still rejected, best 727 (2715s)
  shard 7: d=201 11780 counted, 0 still rejected, best 727 (2794s)
  shard 7: d=30 12045 counted, 0 still rejected, best 727 (2857s)
  shard 7: d=521 12307 counted, 0 still rejected, best 727 (2920s)
  shard 7: d=1105 12567 counted, 0 still rejected, best 727 (2982s)
  shard 7: d=33 12824 counted, 0 still rejected, best 727 (3044s)
  shard 7: d=97 13077 counted, 0 still rejected, best 727 (3110s)
  shard 7: d=11 13326 counted, 0 still rejected, best 727 (3170s)
  shard 7: d=217 13575 counted, 0 still rejected, best 727 (3229s)
  shard 7: d=601 13824 counted, 0 still rejected, best 727 (3287s)
  shard 7: d=89 14072 counted, 0 still rejected, best 727 (3346s)
  shard 7: d=433 14316 counted, 0 still rejected, best 727 (3403s)
  shard 7: d=8761 14559 counted, 0 still rejected, best 727 (3469s)
  shard 7: d=193 14801 counted, 0 still rejected, best 727 (3916s)
  shard 7: d=58 15042 counted, 0 still rejected, best 727 (4130s)
  shard 7: d=901 15266 counted, 0 still rejected, best 727 (4178s)
  shard 7: d=721 15482 counted, 0 still rejected, best 727 (4230s)
  shard 7: d=149 15695 counted, 0 still rejected, best 727 (4282s)
  shard 7: d=785 15904 counted, 0 still rejected, best 727 (4336s)
  shard 7: d=8545 16112 counted, 0 still rejected, best 727 (4387s)
  shard 7: d=7369 16319 counted, 0 still rejected, best 727 (4439s)
  shard 7: d=9049 16526 counted, 0 still rejected, best 727 (4492s)
  shard 7: d=769 16732 counted, 0 still rejected, best 727 (4545s)
  shard 7: d=1201 16928 counted, 0 still rejected, best 727 (4595s)
  shard 7: d=34 17122 counted, 0 still rejected, best 727 (4644s)
  shard 7: d=329 17316 counted, 0 still rejected, best 727 (4692s)
  shard 7: d=526 17507 counted, 0 still rejected, best 727 (4740s)
  shard 7: d=577 17698 counted, 0 still rejected, best 727 (4789s)
  shard 7: d=3689 17889 counted, 0 still rejected, best 727 (4837s)
  shard 7: d=229 18068 counted, 0 still rejected, best 727 (4883s)
  shard 7: d=31 18246 counted, 0 still rejected, best 727 (4929s)
  shard 7: d=113 18423 counted, 0 still rejected, best 727 (4974s)
  shard 7: d=921 18600 counted, 0 still rejected, best 727 (5020s)
  shard 7: d=1321 18777 counted, 0 still rejected, best 727 (5065s)
  shard 7: d=37 18952 counted, 0 still rejected, best 727 (5110s)
  shard 7: d=1165 19125 counted, 0 still rejected, best 727 (5154s)
  shard 7: d=5941 19298 counted, 0 still rejected, best 727 (5199s)
  shard 7: d=661 19470 counted, 0 still rejected, best 727 (5244s)
  shard 7: d=16449 19642 counted, 0 still rejected, best 727 (5289s)
  shard 7: d=18129 19814 counted, 0 still rejected, best 727 (5334s)
  shard 7: d=29 19982 counted, 0 still rejected, best 727 (5377s)
  shard 7: d=1489 20146 counted, 0 still rejected, best 727 (5420s)
  shard 7: d=159 20307 counted, 0 still rejected, best 727 (5463s)
  shard 7: d=109 20466 counted, 0 still rejected, best 727 (5505s)
  shard 7: d=2221 20623 counted, 0 still rejected, best 727 (5546s)
  shard 7: d=157 20779 counted, 0 still rejected, best 727 (5587s)
  shard 7: d=3769 20935 counted, 0 still rejected, best 727 (5629s)
  shard 7: d=8209 21091 counted, 0 still rejected, best 727 (5671s)
  shard 7: d=8409 21247 counted, 0 still rejected, best 727 (5713s)
  shard 7: d=713 21402 counted, 0 still rejected, best 727 (5754s)
  shard 7: d=3161 21557 counted, 0 still rejected, best 727 (5796s)
  shard 7: d=401 21701 counted, 0 still rejected, best 727 (5837s)
  shard 7: d=14 21843 counted, 0 still rejected, best 727 (5876s)
  shard 7: d=65 21984 counted, 0 still rejected, best 727 (5913s)
  shard 7: d=60481 22125 counted, 0 still rejected, best 727 (5952s)
  shard 7: d=39 22265 counted, 0 still rejected, best 727 (5991s)
  shard 7: d=277 22405 counted, 0 still rejected, best 727 (6028s)
  shard 7: d=609 22545 counted, 0 still rejected, best 727 (6065s)
  shard 7: d=1033 22685 counted, 0 still rejected, best 727 (6103s)
  shard 7: d=1549 22825 counted, 0 still rejected, best 727 (6141s)
  shard 7: d=3441 22965 counted, 0 still rejected, best 727 (6179s)
  shard 7: d=305 23104 counted, 0 still rejected, best 727 (6218s)
  shard 7: d=309 23243 counted, 0 still rejected, best 727 (6255s)
  shard 7: d=457 23382 counted, 0 still rejected, best 727 (6294s)
  shard 7: d=993 23521 counted, 0 still rejected, best 727 (6330s)
  shard 7: d=3193 23660 counted, 0 still rejected, best 727 (6367s)
  shard 7: d=233 23798 counted, 0 still rejected, best 727 (6405s)
  shard 7: d=254 23936 counted, 0 still rejected, best 727 (6442s)
  shard 7: d=321 24074 counted, 0 still rejected, best 727 (6480s)
  shard 7: d=379 24212 counted, 0 still rejected, best 727 (6516s)
  shard 7: d=1171 24350 counted, 0 still rejected, best 727 (6553s)
  shard 7: d=1361 24488 counted, 0 still rejected, best 727 (6591s)
  shard 7: d=1581 24626 counted, 0 still rejected, best 727 (6623s)
  shard 7: d=1641 24764 counted, 0 still rejected, best 727 (6655s)
  shard 7: d=1861 24902 counted, 0 still rejected, best 727 (6689s)
  shard 7: d=1966 25040 counted, 0 still rejected, best 727 (6722s)
  shard 7: d=3529 25178 counted, 0 still rejected, best 727 (6754s)
  shard 7: d=4209 25316 counted, 0 still rejected, best 727 (6788s)
  shard 7: d=5185 25454 counted, 0 still rejected, best 727 (6820s)
  shard 7: d=7465 25592 counted, 0 still rejected, best 727 (6852s)
  shard 7: d=8529 25730 counted, 0 still rejected, best 727 (6886s)
  shard 7: d=93 25864 counted, 0 still rejected, best 727 (6918s)
  shard 7: d=337 25998 counted, 0 still rejected, best 727 (6950s)
  shard 7: d=3089 26130 counted, 0 still rejected, best 727 (6982s)
  shard 7: d=35401 26262 counted, 0 still rejected, best 727 (7014s)
  shard 7: d=59761 26393 counted, 0 still rejected, best 727 (7047s)
  shard 7: d=62041 26522 counted, 0 still rejected, best 727 (7085s)
  shard 7: d=834 26648 counted, 0 still rejected, best 727 (7116s)
  shard 7: d=510 26773 counted, 0 still rejected, best 727 (7146s)
  shard 7: d=2190 26898 counted, 0 still rejected, best 727 (7177s)
  shard 7: d=43 27022 counted, 0 still rejected, best 727 (7208s)
  shard 7: d=102 27146 counted, 0 still rejected, best 727 (7238s)
  shard 7: d=226 27269 counted, 0 still rejected, best 727 (7268s)
  shard 7: d=417 27392 counted, 0 still rejected, best 727 (7298s)
  shard 7: d=1081 27515 counted, 0 still rejected, best 727 (7328s)
  shard 7: d=1465 27638 counted, 0 still rejected, best 727 (7359s)
  shard 7: d=5977 27761 counted, 0 still rejected, best 727 (7389s)
  shard 7: d=1126 27883 counted, 0 still rejected, best 727 (7419s)
  shard 7: d=3313 28005 counted, 0 still rejected, best 727 (7449s)
  shard 7: d=9089 28127 counted, 0 still rejected, best 727 (7479s)
  shard 7: d=129 28248 counted, 0 still rejected, best 727 (7509s)
  shard 7: d=697 28369 counted, 0 still rejected, best 727 (7538s)
  shard 7: d=2113 28490 counted, 0 still rejected, best 727 (7568s)
  shard 7: d=2201 28611 counted, 0 still rejected, best 727 (7598s)
  shard 7: d=87 28731 counted, 0 still rejected, best 727 (7628s)
  shard 7: d=466 28851 counted, 0 still rejected, best 727 (7657s)
  shard 7: d=66 28970 counted, 0 still rejected, best 727 (7687s)
  shard 7: d=897 29086 counted, 0 still rejected, best 727 (7715s)
  shard 7: d=9769 29201 counted, 0 still rejected, best 727 (7744s)
  shard 7: d=43921 29316 counted, 0 still rejected, best 727 (7773s)
  shard 7: d=817 29430 counted, 0 still rejected, best 727 (7802s)
  shard 7: d=29401 29542 counted, 0 still rejected, best 727 (7829s)
  shard 7: d=745 29650 counted, 0 still rejected, best 727 (7857s)
  shard 7: d=806 29758 counted, 0 still rejected, best 727 (7884s)
  shard 7: d=537 29865 counted, 0 still rejected, best 727 (7910s)
  shard 7: d=82 29971 counted, 0 still rejected, best 727 (7937s)
  shard 7: d=119 30076 counted, 0 still rejected, best 727 (7962s)
  shard 7: d=185 30181 counted, 0 still rejected, best 727 (7988s)
  shard 7: d=249 30286 counted, 0 still rejected, best 727 (8014s)
  shard 7: d=489 30391 counted, 0 still rejected, best 727 (8039s)
  shard 7: d=1417 30496 counted, 0 still rejected, best 727 (8065s)
  shard 7: d=2377 30601 counted, 0 still rejected, best 727 (8091s)
  shard 7: d=23761 30706 counted, 0 still rejected, best 727 (8117s)
  shard 7: d=709 30810 counted, 0 still rejected, best 727 (8142s)
  shard 7: d=849 30914 counted, 0 still rejected, best 727 (8168s)
  shard 7: d=1054 31018 counted, 0 still rejected, best 727 (8193s)
  shard 7: d=1609 31122 counted, 0 still rejected, best 727 (8219s)
  shard 7: d=6329 31226 counted, 0 still rejected, best 727 (8244s)
  shard 7: d=13729 31330 counted, 0 still rejected, best 727 (8270s)
  shard 7: d=16969 31434 counted, 0 still rejected, best 727 (8295s)
  shard 7: d=22649 31538 counted, 0 still rejected, best 727 (8320s)
  shard 7: d=586 31641 counted, 0 still rejected, best 727 (8345s)
  shard 7: d=1114 31744 counted, 0 still rejected, best 727 (8370s)
  shard 7: d=1753 31847 counted, 0 still rejected, best 727 (8395s)
  shard 7: d=3361 31950 counted, 0 still rejected, best 727 (8420s)
  shard 7: d=17209 32053 counted, 0 still rejected, best 727 (8445s)
  shard 7: d=44041 32156 counted, 0 still rejected, best 727 (8470s)
  shard 7: d=4049 32255 counted, 0 still rejected, best 727 (8495s)
  shard 7: d=1241 32353 counted, 0 still rejected, best 727 (8519s)
  shard 7: d=5311 32444 counted, 0 still rejected, best 727 (8542s)
  shard 7: d=55 32534 counted, 0 still rejected, best 727 (8564s)
  shard 7: d=219 32624 counted, 0 still rejected, best 727 (8586s)
  shard 7: d=355 32714 counted, 0 still rejected, best 727 (8608s)
  shard 7: d=3245 32804 counted, 0 still rejected, best 727 (8630s)
  shard 7: d=4929 32894 counted, 0 still rejected, best 727 (8652s)
  shard 7: d=26 32983 counted, 0 still rejected, best 727 (8674s)
  shard 7: d=199 33072 counted, 0 still rejected, best 727 (8696s)
  shard 7: d=7291 33161 counted, 0 still rejected, best 727 (8718s)
