starting
planes/cube [24, 24, 24, 24, 23] ; quadrics/cube [96, 96, 96, 96, 96]
squarefree classes of the irrational solutions (top 12): [(5, 13500), (17, 12930), (465, 8394), (15, 8106), (115, 7536), (6, 7104), (10, 6828), (481, 6594), (217, 5970), (145, 5508), (13, 5244), (73, 4998)]
classes: 1384, candidate configs: 508818
  Q(sqrt1861    ):   1104 cfgs, counted    420, best 711
  Q(sqrt5185    ):   1104 cfgs, counted    168, best 703
  Q(sqrt254     ):   1104 cfgs, counted    996, best 707
  Q(sqrt1641    ):   1104 cfgs, counted    540, best 707
  Q(sqrt4209    ):   1104 cfgs, counted    264, best 701
  Q(sqrt1966    ):   1104 cfgs, counted    432, best 697
  Q(sqrt8529    ):   1104 cfgs, counted     36, best 697
  Q(sqrt1171    ):   1104 cfgs, counted    630, best 705
  Q(sqrt3529    ):   1104 cfgs, counted    336, best 709
  Q(sqrt379     ):   1104 cfgs, counted   1044, best 713
  Q(sqrt337     ):   1074 cfgs, counted    684, best 723
  Q(sqrt93      ):   1068 cfgs, counted    756, best 721
  Q(sqrt35401   ):   1056 cfgs, counted      0, best 0
  Q(sqrt3089    ):   1056 cfgs, counted    312, best 707
  Q(sqrt59761   ):   1050 cfgs, counted      0, best 0
  Q(sqrt62041   ):   1032 cfgs, counted      0, best 0
  Q(sqrt834     ):   1008 cfgs, counted    420, best 721
  Q(sqrt2190    ):   1002 cfgs, counted    294, best 725
  Q(sqrt510     ):   1002 cfgs, counted    444, best 721
  Q(sqrt43      ):    996 cfgs, counted    924, best 707
  Q(sqrt102     ):    996 cfgs, counted    852, best 721
  Q(sqrt5977    ):    990 cfgs, counted     48, best 691
  Q(sqrt417     ):    984 cfgs, counted    474, best 719
  Q(sqrt226     ):    984 cfgs, counted    864, best 727
  Q(sqrt1465    ):    978 cfgs, counted    222, best 717
  Q(sqrt1081    ):    978 cfgs, counted    456, best 715
  Q(sqrt3313    ):    978 cfgs, counted    324, best 709
  Q(sqrt1126    ):    972 cfgs, counted    666, best 721
  Q(sqrt9089    ):    972 cfgs, counted     30, best 697
  Q(sqrt2201    ):    966 cfgs, counted    348, best 699
  Q(sqrt2113    ):    966 cfgs, counted    264, best 715
  Q(sqrt129     ):    966 cfgs, counted    954, best 711
  Q(sqrt697     ):    966 cfgs, counted    912, best 707
  Q(sqrt466     ):    960 cfgs, counted    828, best 721
  Q(sqrt87      ):    960 cfgs, counted    816, best 709
  Q(sqrt66      ):    948 cfgs, counted    834, best 705
  Q(sqrt897     ):    924 cfgs, counted    330, best 709
  Q(sqrt9769    ):    918 cfgs, counted      0, best 0
  Q(sqrt43921   ):    918 cfgs, counted      0, best 0
  Q(sqrt817     ):    906 cfgs, counted    456, best 723
  Q(sqrt29401   ):    900 cfgs, counted      0, best 0
  Q(sqrt806     ):    864 cfgs, counted    246, best 711
  Q(sqrt745     ):    864 cfgs, counted    144, best 711
  Q(sqrt537     ):    852 cfgs, counted    516, best 721
  Q(sqrt82      ):    846 cfgs, counted    780, best 723
  Q(sqrt249     ):    840 cfgs, counted    666, best 707
  Q(sqrt489     ):    840 cfgs, counted    756, best 721
  Q(sqrt23761   ):    840 cfgs, counted      0, best 0
  Q(sqrt2377    ):    840 cfgs, counted    300, best 721
  Q(sqrt185     ):    840 cfgs, counted    834, best 699
  Q(sqrt1417    ):    840 cfgs, counted    444, best 715
  Q(sqrt6329    ):    834 cfgs, counted      0, best 0
  Q(sqrt119     ):    834 cfgs, counted    834, best 707
  Q(sqrt17209   ):    828 cfgs, counted      0, best 0
  Q(sqrt1054    ):    828 cfgs, counted    396, best 711
  Q(sqrt22649   ):    828 cfgs, counted      0, best 0
  Q(sqrt44041   ):    828 cfgs, counted      0, best 0
  Q(sqrt13729   ):    828 cfgs, counted      0, best 0
  Q(sqrt586     ):    828 cfgs, counted    432, best 703
  Q(sqrt1753    ):    828 cfgs, counted    342, best 699
  Q(sqrt1114    ):    828 cfgs, counted    324, best 705
  Q(sqrt16969   ):    828 cfgs, counted      0, best 0
  Q(sqrt849     ):    828 cfgs, counted    492, best 709
  Q(sqrt3361    ):    828 cfgs, counted    264, best 719
  Q(sqrt709     ):    828 cfgs, counted    756, best 707
  Q(sqrt1609    ):    828 cfgs, counted    558, best 711
  Q(sqrt4049    ):    792 cfgs, counted     54, best 713
  Q(sqrt1241    ):    780 cfgs, counted    138, best 715
  Q(sqrt5311    ):    732 cfgs, counted     54, best 701
  Q(sqrt219     ):    720 cfgs, counted    468, best 717
  Q(sqrt355     ):    720 cfgs, counted    282, best 705
  Q(sqrt3245    ):    720 cfgs, counted      0, best 0
  Q(sqrt4929    ):    720 cfgs, counted     90, best 717
  Q(sqrt7291    ):    714 cfgs, counted     84, best 721
  Q(sqrt55      ):    714 cfgs, counted    624, best 719
  Q(sqrt199     ):    708 cfgs, counted    558, best 721
  Q(sqrt26      ):    708 cfgs, counted    702, best 699
  Q(sqrt2857    ):    702 cfgs, counted    108, best 725
  Q(sqrt22      ):    702 cfgs, counted    666, best 719
  Q(sqrt733     ):    702 cfgs, counted    396, best 711
  Q(sqrt205     ):    702 cfgs, counted    594, best 711
  Q(sqrt881     ):    702 cfgs, counted    414, best 709
  Q(sqrt257     ):    696 cfgs, counted    540, best 719
  Q(sqrt1873    ):    696 cfgs, counted    282, best 713
  Q(sqrt9105    ):    696 cfgs, counted     36, best 699
  Q(sqrt130     ):    696 cfgs, counted    636, best 721
  Q(sqrt2553    ):    696 cfgs, counted    114, best 711
  Q(sqrt445     ):    696 cfgs, counted    588, best 713
  Q(sqrt273     ):    696 cfgs, counted    438, best 701
  Q(sqrt377     ):    690 cfgs, counted    432, best 721
  Q(sqrt78      ):    690 cfgs, counted    690, best 703
  Q(sqrt2521    ):    690 cfgs, counted    336, best 715
  Q(sqrt190     ):    690 cfgs, counted    672, best 713
  Q(sqrt8689    ):    660 cfgs, counted     36, best 693
  Q(sqrt81481   ):    648 cfgs, counted      0, best 0
  Q(sqrt2305    ):    642 cfgs, counted    150, best 715
  Q(sqrt1801    ):    636 cfgs, counted    420, best 705
  Q(sqrt937     ):    612 cfgs, counted    414, best 703
  Q(sqrt317     ):    576 cfgs, counted    432, best 721
  Q(sqrt2199    ):    576 cfgs, counted      6, best 721
  Q(sqrt1461    ):    576 cfgs, counted     90, best 713
  Q(sqrt506     ):    576 cfgs, counted    336, best 699
  Q(sqrt195     ):    576 cfgs, counted    576, best 721
  Q(sqrt50641   ):    576 cfgs, counted      0, best 0
  Q(sqrt5889    ):    576 cfgs, counted      0, best 0
  Q(sqrt4349    ):    576 cfgs, counted      6, best 711
  Q(sqrt7294    ):    576 cfgs, counted      0, best 0
  Q(sqrt118     ):    576 cfgs, counted    528, best 709
  Q(sqrt913     ):    576 cfgs, counted     84, best 703
  Q(sqrt3397    ):    570 cfgs, counted     12, best 695
  Q(sqrt4117    ):    570 cfgs, counted      0, best 0
  Q(sqrt1761    ):    570 cfgs, counted     72, best 697
  Q(sqrt403     ):    570 cfgs, counted    354, best 727
  Q(sqrt1281    ):    564 cfgs, counted     60, best 709
  Q(sqrt1351    ):    564 cfgs, counted    162, best 711
  Q(sqrt70      ):    564 cfgs, counted    498, best 709
  Q(sqrt163     ):    564 cfgs, counted    564, best 715
  Q(sqrt26761   ):    558 cfgs, counted      0, best 0
  Q(sqrt53      ):    552 cfgs, counted    426, best 715
  Q(sqrt6409    ):    552 cfgs, counted      0, best 0
  Q(sqrt1145    ):    552 cfgs, counted    288, best 699
  Q(sqrt1065    ):    552 cfgs, counted    408, best 707
  Q(sqrt9249    ):    552 cfgs, counted     36, best 699
  Q(sqrt865     ):    552 cfgs, counted    360, best 711
  Q(sqrt2611    ):    552 cfgs, counted    216, best 707
  Q(sqrt178     ):    552 cfgs, counted    456, best 707
  Q(sqrt1329    ):    552 cfgs, counted    324, best 717
  Q(sqrt991     ):    552 cfgs, counted    372, best 701
  Q(sqrt11049   ):    552 cfgs, counted      0, best 0
  Q(sqrt11185   ):    552 cfgs, counted     36, best 695
  Q(sqrt12265   ):    552 cfgs, counted     36, best 695
  Q(sqrt18361   ):    552 cfgs, counted      0, best 0
  Q(sqrt24169   ):    552 cfgs, counted      0, best 0
  Q(sqrt1561    ):    552 cfgs, counted    252, best 711
  Q(sqrt7169    ):    552 cfgs, counted      0, best 0
  Q(sqrt2230    ):    552 cfgs, counted    180, best 699
  Q(sqrt994     ):    552 cfgs, counted    192, best 707
  Q(sqrt10465   ):    552 cfgs, counted     36, best 703
