[ 4459.4s] n=9 k=5 c=385   lin 1 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 4524.2s] n=9 k=5 c=383   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 4845.5s] n=9 k=5 c=377   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 4858.8s] n=9 k=5 c=369   lin 3 -> nonempty  10 dirs: 10 confirmed, 0 unevaluable, 0 changed; wraps [361, 'multi-cube', 'multi-cube', 'multi-cube']
[ 4878.2s] n=9 k=5 c=367   lin 3 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 5185.3s] n=9 k=5 c=363   lin 5 -> nonempty  2 dirs: 2 confirmed, 0 unevaluable, 0 changed; wraps [385, 385]
[ 5205.1s] n=9 k=5 c=359   lin 5 -> nonempty  15 dirs: 15 confirmed, 0 unevaluable, 0 changed; wraps [159, 'multi-cube', 'multi-cube', 'multi-cube']
[ 5338.6s] n=9 k=5 c=357   lin 7 -> nonempty  6 dirs: 6 confirmed, 0 unevaluable, 0 changed; wraps [339, 387, 'multi-cube', 385]
[ 5358.5s] n=9 k=5 c=351   lin 5 -> nonempty  15 dirs: 15 confirmed, 0 unevaluable, 0 changed; wraps [159, 'multi-cube', 'multi-cube', 'multi-cube']
[ 5490.4s] n=9 k=5 c=347   lin 7 -> nonempty  48 dirs: 11 confirmed, 0 unevaluable, 37 changed; wraps ['multi-cube', 'multi-cube', 'multi-cube', 'multi-cube']
[ 5731.8s] n=9 k=5 c=345   lin 9 -> nonempty  80 dirs: 24 confirmed, 0 unevaluable, 56 changed; wraps [373, 'multi-cube', 373, 'multi-cube']
[ 5901.4s] n=9 k=5 c=337   lin 9 -> nonempty  62 dirs: 16 confirmed, 0 unevaluable, 46 changed; wraps [369, 'multi-cube', 'multi-cube', 369]
[ 5926.7s] n=9 k=6 c=723   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
[ 5953.2s] n=9 k=6 c=717   lin 3 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [385]
[ 5969.5s] n=9 k=6 c=715   lin 3 -> nonempty  1 dirs: 1 confirmed, 0 unevaluable, 0 changed; wraps [383]
[ 5994.2s] n=9 k=6 c=709   lin 3 -> nonempty  10 dirs: 10 confirmed, 0 unevaluable, 0 changed; wraps [687, 'multi-cube', 'multi-cube', 'multi-cube']
[ 6022.7s] n=9 k=6 c=707   lin 2 -> empty     0 dirs: 0 confirmed, 0 unevaluable, 0 changed; wraps []
