shard 0: 20000 rows, 0.0 h elapsed
shard 0: 40000 rows, 0.1 h elapsed
shard 0: 60000 rows, 0.1 h elapsed
shard 0: 80000 rows, 0.1 h elapsed
shard 0: 100000 rows, 0.2 h elapsed
shard 0: 120000 rows, 0.2 h elapsed
shard 0: 140000 rows, 0.2 h elapsed
shard 0: 160000 rows, 0.3 h elapsed
shard 0: 180000 rows, 0.3 h elapsed
shard 0: 200000 rows, 0.4 h elapsed
shard 0: 220000 rows, 0.4 h elapsed
shard 0: 240000 rows, 0.5 h elapsed
shard 0: 260000 rows, 0.5 h elapsed
shard 0: 280000 rows, 0.5 h elapsed
shard 0: 300000 rows, 0.6 h elapsed
shard 0: 320000 rows, 0.6 h elapsed
shard 0: 340000 rows, 0.7 h elapsed
shard 0: 360000 rows, 0.7 h elapsed
shard 0: 380000 rows, 0.8 h elapsed
shard 0: 400000 rows, 0.9 h elapsed
shard 0: 420000 rows, 0.9 h elapsed
shard 0: 440000 rows, 1.0 h elapsed
shard 0: 460000 rows, 1.1 h elapsed
shard 0: 480000 rows, 1.1 h elapsed
shard 0: 500000 rows, 1.2 h elapsed
shard 0: 520000 rows, 1.3 h elapsed
shard 0: 540000 rows, 1.3 h elapsed
shard 0: 560000 rows, 1.4 h elapsed
shard 0: 580000 rows, 1.4 h elapsed
shard 0: 600000 rows, 1.4 h elapsed
shard 0: 620000 rows, 1.5 h elapsed
shard 0: 640000 rows, 1.6 h elapsed
shard 0: 660000 rows, 1.6 h elapsed
shard 0: 680000 rows, 1.7 h elapsed
shard 0: 700000 rows, 1.7 h elapsed
shard 0: 720000 rows, 1.8 h elapsed
shard 0: 740000 rows, 1.9 h elapsed
shard 0: 760000 rows, 1.9 h elapsed
shard 0: 780000 rows, 2.0 h elapsed
shard 0 done: 783873 rows
