shard 1/8: 63603 of 508818 configurations
  shard 1: d=5 400 counted, 0 still rejected, best 721 (81s)
  shard 1: d=5 800 counted, 0 still rejected, best 721 (163s)
  shard 1: d=5 1101 counted, 0 still rejected, best 721 (227s)
  shard 1: d=17 1501 counted, 0 still rejected, best 721 (309s)
  shard 1: d=17 1901 counted, 0 still rejected, best 721 (395s)
  shard 1: d=17 1922 counted, 0 still rejected, best 721 (399s)
  shard 1: d=6 2322 counted, 0 still rejected, best 723 (492s)
  shard 1: d=6 2516 counted, 0 still rejected, best 723 (537s)
  shard 1: d=481 2916 counted, 0 still rejected, best 723 (627s)
  shard 1: d=481 3095 counted, 0 still rejected, best 723 (666s)
  shard 1: d=145 3495 counted, 0 still rejected, best 723 (755s)
  shard 1: d=145 3651 counted, 0 still rejected, best 723 (791s)
  shard 1: d=465 4051 counted, 0 still rejected, best 723 (884s)
  shard 1: d=465 4068 counted, 0 still rejected, best 723 (888s)
  shard 1: d=161 4468 counted, 0 still rejected, best 723 (976s)
  shard 1: d=161 4482 counted, 0 still rejected, best 723 (979s)
  shard 1: d=41 4882 counted, 0 still rejected, best 723 (1068s)
  shard 1: d=41 4891 counted, 0 still rejected, best 723 (1070s)
  shard 1: d=13 5291 counted, 0 still rejected, best 727 (1160s)
  shard 1: d=13 5295 counted, 0 still rejected, best 727 (1161s)
  shard 1: d=2 5681 counted, 0 still rejected, best 727 (1258s)
  shard 1: d=73 6062 counted, 0 still rejected, best 727 (1348s)
  shard 1: d=3 6432 counted, 0 still rejected, best 727 (1441s)
  shard 1: d=15 6802 counted, 0 still rejected, best 727 (1524s)
  shard 1: d=19 7170 counted, 0 still rejected, best 727 (1608s)
  shard 1: d=115 7523 counted, 0 still rejected, best 727 (1726s)
  shard 1: d=21 7861 counted, 0 still rejected, best 727 (1818s)
  shard 1: d=10 8198 counted, 0 still rejected, best 727 (1907s)
  shard 1: d=7 8533 counted, 0 still rejected, best 727 (1992s)
  shard 1: d=177 8853 counted, 0 still rejected, best 727 (2073s)
  shard 1: d=281 9166 counted, 0 still rejected, best 727 (2151s)
  shard 1: d=57 9475 counted, 0 still rejected, best 727 (2227s)
  shard 1: d=61 9781 counted, 0 still rejected, best 727 (2299s)
  shard 1: d=85 10080 counted, 0 still rejected, best 727 (2368s)
  shard 1: d=137 10377 counted, 0 still rejected, best 727 (2437s)
  shard 1: d=313 10669 counted, 0 still rejected, best 727 (2506s)
  shard 1: d=241 10957 counted, 0 still rejected, best 727 (2574s)
  shard 1: d=265 11238 counted, 0 still rejected, best 727 (2640s)
  shard 1: d=505 11517 counted, 0 still rejected, best 727 (2719s)
  shard 1: d=201 11787 counted, 0 still rejected, best 727 (2797s)
  shard 1: d=30 12051 counted, 0 still rejected, best 727 (2860s)
  shard 1: d=521 12313 counted, 0 still rejected, best 727 (2923s)
  shard 1: d=1105 12572 counted, 0 still rejected, best 727 (2984s)
  shard 1: d=33 12829 counted, 0 still rejected, best 727 (3047s)
  shard 1: d=97 13081 counted, 0 still rejected, best 727 (3113s)
  shard 1: d=217 13331 counted, 0 still rejected, best 727 (3174s)
  shard 1: d=11 13580 counted, 0 still rejected, best 727 (3231s)
  shard 1: d=601 13829 counted, 0 still rejected, best 727 (3289s)
  shard 1: d=89 14077 counted, 0 still rejected, best 727 (3349s)
  shard 1: d=433 14322 counted, 0 still rejected, best 727 (3407s)
  shard 1: d=193 14565 counted, 0 still rejected, best 727 (3472s)
  shard 1: d=8761 14808 counted, 0 still rejected, best 727 (3924s)
  shard 1: d=58 15048 counted, 0 still rejected, best 727 (4133s)
  shard 1: d=901 15272 counted, 0 still rejected, best 727 (4182s)
  shard 1: d=721 15488 counted, 0 still rejected, best 727 (4233s)
  shard 1: d=149 15702 counted, 0 still rejected, best 727 (4286s)
  shard 1: d=785 15910 counted, 0 still rejected, best 727 (4338s)
  shard 1: d=8545 16118 counted, 0 still rejected, best 727 (4390s)
  shard 1: d=7369 16325 counted, 0 still rejected, best 727 (4442s)
  shard 1: d=9049 16532 counted, 0 still rejected, best 727 (4494s)
  shard 1: d=769 16738 counted, 0 still rejected, best 727 (4547s)
