[   31.8s] n=6 k=3 c=63 CRASH GeneratorsNeeded
[ 4274.9s] n=9 k=6 c=679   lineality 6 -> nonempty  20 dirs, 20 confirmed
[ 4655.0s] n=9 k=6 c=671   lineality 9 -> nonempty  88 dirs, 40 confirmed
[ 4686.6s] n=9 k=7 c=1209  lineality 2 -> empty     0 dirs, 0 confirmed
[ 4721.0s] n=9 k=7 c=1203  lineality 3 -> nonempty  1 dirs, 0 confirmed
[ 4755.5s] n=9 k=7 c=1199  lineality 3 -> nonempty  1 dirs, 0 confirmed
[ 4811.2s] n=9 k=7 c=1195  lineality 4 -> nonempty  1 dirs, 0 confirmed
[ 4866.8s] n=9 k=7 c=1191  lineality 4 -> nonempty  1 dirs, 1 confirmed
[ 4914.0s] n=9 k=7 c=1185  lineality 5 -> nonempty  2 dirs, 2 confirmed
[ 4957.6s] n=9 k=7 c=1179  lineality 6 -> nonempty  3 dirs, 2 confirmed
[ 5665.9s] n=9 k=7 c=1171  lineality 9 -> nonempty  48 dirs, 20 confirmed
[ 5742.7s] n=9 k=8 c=1883  lineality 4 -> empty     0 dirs, 0 confirmed
[ 5813.0s] n=9 k=8 c=1869  lineality 5 -> nonempty  2 dirs, 1 confirmed
[ 5813.0s] done: 74 classes
