shard 2/8: 63602 of 508818 configurations
  shard 2: d=5 400 counted, 0 still rejected, best 721 (80s)
  shard 2: d=5 800 counted, 0 still rejected, best 721 (161s)
  shard 2: d=5 1101 counted, 0 still rejected, best 721 (226s)
  shard 2: d=17 1501 counted, 0 still rejected, best 721 (308s)
  shard 2: d=17 1901 counted, 0 still rejected, best 721 (393s)
  shard 2: d=17 1922 counted, 0 still rejected, best 721 (398s)
  shard 2: d=6 2322 counted, 0 still rejected, best 723 (490s)
  shard 2: d=6 2517 counted, 0 still rejected, best 723 (535s)
  shard 2: d=481 2917 counted, 0 still rejected, best 723 (623s)
  shard 2: d=481 3096 counted, 0 still rejected, best 723 (663s)
  shard 2: d=145 3496 counted, 0 still rejected, best 723 (751s)
  shard 2: d=145 3653 counted, 0 still rejected, best 723 (788s)
  shard 2: d=465 4053 counted, 0 still rejected, best 723 (881s)
  shard 2: d=465 4069 counted, 0 still rejected, best 723 (885s)
  shard 2: d=161 4469 counted, 0 still rejected, best 723 (972s)
  shard 2: d=161 4483 counted, 0 still rejected, best 723 (976s)
  shard 2: d=41 4883 counted, 0 still rejected, best 723 (1064s)
  shard 2: d=41 4891 counted, 0 still rejected, best 723 (1066s)
  shard 2: d=13 5291 counted, 0 still rejected, best 727 (1155s)
  shard 2: d=13 5295 counted, 0 still rejected, best 727 (1156s)
  shard 2: d=2 5681 counted, 0 still rejected, best 727 (1254s)
  shard 2: d=73 6062 counted, 0 still rejected, best 727 (1342s)
  shard 2: d=15 6433 counted, 0 still rejected, best 727 (1434s)
  shard 2: d=3 6802 counted, 0 still rejected, best 727 (1517s)
  shard 2: d=19 7170 counted, 0 still rejected, best 727 (1601s)
  shard 2: d=115 7523 counted, 0 still rejected, best 727 (1716s)
  shard 2: d=21 7861 counted, 0 still rejected, best 727 (1811s)
  shard 2: d=10 8198 counted, 0 still rejected, best 727 (1900s)
  shard 2: d=7 8533 counted, 0 still rejected, best 727 (1985s)
  shard 2: d=177 8853 counted, 0 still rejected, best 727 (2066s)
  shard 2: d=281 9166 counted, 0 still rejected, best 727 (2143s)
  shard 2: d=57 9474 counted, 0 still rejected, best 727 (2220s)
  shard 2: d=61 9779 counted, 0 still rejected, best 727 (2293s)
  shard 2: d=85 10078 counted, 0 still rejected, best 727 (2362s)
  shard 2: d=137 10375 counted, 0 still rejected, best 727 (2431s)
  shard 2: d=313 10667 counted, 0 still rejected, best 727 (2500s)
  shard 2: d=241 10954 counted, 0 still rejected, best 727 (2567s)
  shard 2: d=265 11235 counted, 0 still rejected, best 727 (2633s)
  shard 2: d=505 11514 counted, 0 still rejected, best 727 (2709s)
  shard 2: d=201 11783 counted, 0 still rejected, best 727 (2789s)
  shard 2: d=30 12048 counted, 0 still rejected, best 727 (2854s)
  shard 2: d=521 12310 counted, 0 still rejected, best 727 (2915s)
  shard 2: d=1105 12569 counted, 0 still rejected, best 727 (2977s)
  shard 2: d=33 12826 counted, 0 still rejected, best 727 (3038s)
  shard 2: d=97 13079 counted, 0 still rejected, best 727 (3106s)
  shard 2: d=217 13329 counted, 0 still rejected, best 727 (3166s)
  shard 2: d=11 13578 counted, 0 still rejected, best 727 (3225s)
  shard 2: d=601 13827 counted, 0 still rejected, best 727 (3283s)
  shard 2: d=89 14075 counted, 0 still rejected, best 727 (3342s)
  shard 2: d=433 14320 counted, 0 still rejected, best 727 (3400s)
  shard 2: d=8761 14563 counted, 0 still rejected, best 727 (3466s)
  shard 2: d=193 14805 counted, 0 still rejected, best 727 (3906s)
  shard 2: d=58 15046 counted, 0 still rejected, best 727 (4126s)
  shard 2: d=901 15271 counted, 0 still rejected, best 727 (4174s)
  shard 2: d=721 15487 counted, 0 still rejected, best 727 (4226s)
  shard 2: d=149 15701 counted, 0 still rejected, best 727 (4277s)
  shard 2: d=785 15909 counted, 0 still rejected, best 727 (4331s)
  shard 2: d=769 16116 counted, 0 still rejected, best 727 (4383s)
  shard 2: d=7369 16323 counted, 0 still rejected, best 727 (4435s)
  shard 2: d=8545 16530 counted, 0 still rejected, best 727 (4487s)
  shard 2: d=9049 16737 counted, 0 still rejected, best 727 (4539s)
  shard 2: d=1201 16934 counted, 0 still rejected, best 727 (4590s)
  shard 2: d=34 17127 counted, 0 still rejected, best 727 (4638s)
  shard 2: d=329 17320 counted, 0 still rejected, best 727 (4687s)
  shard 2: d=526 17511 counted, 0 still rejected, best 727 (4734s)
  shard 2: d=3689 17702 counted, 0 still rejected, best 727 (4782s)
  shard 2: d=577 17892 counted, 0 still rejected, best 727 (4830s)
  shard 2: d=31 18071 counted, 0 still rejected, best 727 (4876s)
  shard 2: d=229 18249 counted, 0 still rejected, best 727 (4922s)
  shard 2: d=921 18426 counted, 0 still rejected, best 727 (4968s)
  shard 2: d=1321 18603 counted, 0 still rejected, best 727 (5013s)
  shard 2: d=113 18779 counted, 0 still rejected, best 727 (5058s)
  shard 2: d=37 18954 counted, 0 still rejected, best 727 (5103s)
  shard 2: d=661 19127 counted, 0 still rejected, best 727 (5147s)
  shard 2: d=16449 19300 counted, 0 still rejected, best 727 (5192s)
  shard 2: d=18129 19473 counted, 0 still rejected, best 727 (5237s)
  shard 2: d=1165 19645 counted, 0 still rejected, best 727 (5281s)
  shard 2: d=5941 19817 counted, 0 still rejected, best 727 (5326s)
  shard 2: d=29 19985 counted, 0 still rejected, best 727 (5370s)
  shard 2: d=1489 20148 counted, 0 still rejected, best 727 (5413s)
  shard 2: d=159 20310 counted, 0 still rejected, best 727 (5456s)
  shard 2: d=109 20469 counted, 0 still rejected, best 727 (5497s)
  shard 2: d=2221 20626 counted, 0 still rejected, best 727 (5539s)
  shard 2: d=157 20782 counted, 0 still rejected, best 727 (5580s)
  shard 2: d=3161 20938 counted, 0 still rejected, best 727 (5621s)
  shard 2: d=8209 21094 counted, 0 still rejected, best 727 (5663s)
  shard 2: d=713 21249 counted, 0 still rejected, best 727 (5704s)
  shard 2: d=3769 21404 counted, 0 still rejected, best 727 (5746s)
  shard 2: d=8409 21559 counted, 0 still rejected, best 727 (5788s)
  shard 2: d=401 21702 counted, 0 still rejected, best 727 (5827s)
  shard 2: d=60481 21844 counted, 0 still rejected, best 727 (5869s)
  shard 2: d=14 21985 counted, 0 still rejected, best 727 (5906s)
  shard 2: d=39 22126 counted, 0 still rejected, best 727 (5943s)
  shard 2: d=65 22267 counted, 0 still rejected, best 727 (5982s)
  shard 2: d=309 22407 counted, 0 still rejected, best 727 (6019s)
  shard 2: d=993 22547 counted, 0 still rejected, best 727 (6056s)
  shard 2: d=3193 22687 counted, 0 still rejected, best 727 (6094s)
  shard 2: d=233 22826 counted, 0 still rejected, best 727 (6132s)
  shard 2: d=277 22965 counted, 0 still rejected, best 727 (6169s)
  shard 2: d=305 23104 counted, 0 still rejected, best 727 (6209s)
  shard 2: d=321 23243 counted, 0 still rejected, best 727 (6246s)
  shard 2: d=457 23382 counted, 0 still rejected, best 727 (6284s)
  shard 2: d=609 23521 counted, 0 still rejected, best 727 (6321s)
  shard 2: d=1033 23660 counted, 0 still rejected, best 727 (6358s)
  shard 2: d=1549 23799 counted, 0 still rejected, best 727 (6396s)
  shard 2: d=3441 23938 counted, 0 still rejected, best 727 (6433s)
  shard 2: d=254 24076 counted, 0 still rejected, best 727 (6470s)
  shard 2: d=379 24214 counted, 0 still rejected, best 727 (6508s)
  shard 2: d=1171 24352 counted, 0 still rejected, best 727 (6544s)
  shard 2: d=1361 24490 counted, 0 still rejected, best 727 (6583s)
  shard 2: d=1581 24628 counted, 0 still rejected, best 727 (6616s)
  shard 2: d=1641 24766 counted, 0 still rejected, best 727 (6648s)
  shard 2: d=1861 24904 counted, 0 still rejected, best 727 (6682s)
  shard 2: d=1966 25042 counted, 0 still rejected, best 727 (6714s)
  shard 2: d=3529 25180 counted, 0 still rejected, best 727 (6747s)
  shard 2: d=4209 25318 counted, 0 still rejected, best 727 (6780s)
  shard 2: d=5185 25456 counted, 0 still rejected, best 727 (6813s)
  shard 2: d=7465 25594 counted, 0 still rejected, best 727 (6845s)
  shard 2: d=8529 25732 counted, 0 still rejected, best 727 (6878s)
  shard 2: d=337 25867 counted, 0 still rejected, best 727 (6910s)
  shard 2: d=93 26000 counted, 0 still rejected, best 727 (6942s)
  shard 2: d=3089 26132 counted, 0 still rejected, best 727 (6974s)
  shard 2: d=35401 26264 counted, 0 still rejected, best 727 (7007s)
  shard 2: d=59761 26395 counted, 0 still rejected, best 727 (7040s)
