
=== (2a) C2:2+2+2  (three full-quat C2 orbits + aligned starts) ===
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, 1, 1], [1, 0, 0, 0], [3, -1, 1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, 1, 1], [1, 0, 0, 0], [3, 1, -1, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[4, 1, 1, 1], [1, 0, 0, 0], [3, 1, 1, -1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 1, 1, 1], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [1, 2, 2, 2], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 2, 2, 2], [-1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 2, 2, 2], [1, -1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 2, 2, 2], [1, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 2, 2, 2], [1, 0, -1, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 2, 2, 2], [1, 0, 1, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, -1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, 1]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [2, 1, 1, 1], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 2, 2], [-1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 2, 2], [1, -1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 2, 2], [1, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 2, 2], [1, 0, -1, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 2, 2], [1, 0, 1, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, -1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 2, 2], [1, 0, 0, 1]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 1, 0], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [1, 2, 1, 0], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[7, 2, 2, 2], [3, 4, 1, 0], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=705  seeds=[[5, 2, 2, 2], [1, 2, 1, 0], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, -1, 0], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 1, 0], [-1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 1, 0], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 1, 0], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 1, 0], [1, 0, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 1, 0], [1, -1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 1, 0], [1, 1, 0, 0]]
    *** RECORD>699: D2:4+free2 total=717  seeds=[[5, 2, 2, 2], [3, 2, 1, 0], [1, 0, -1, 0]]
