census n=4 ensemble=axis shard=a0  (23185 already recorded) -> census_n4_axis_a0.jsonl
   6650 recorded, 0 unevaluable, 511.6/min
   6700 recorded, 0 unevaluable, 511.7/min
   6750 recorded, 0 unevaluable, 512.1/min
   6800 recorded, 0 unevaluable, 511.2/min
   6850 recorded, 0 unevaluable, 511.6/min
   6900 recorded, 0 unevaluable, 512.0/min
   6950 recorded, 0 unevaluable, 512.4/min
   7000 recorded, 0 unevaluable, 513.1/min
   7050 recorded, 0 unevaluable, 513.0/min
   7100 recorded, 0 unevaluable, 513.1/min
   7150 recorded, 0 unevaluable, 513.4/min
   7200 recorded, 0 unevaluable, 513.4/min
   7250 recorded, 0 unevaluable, 513.9/min
   7300 recorded, 0 unevaluable, 514.2/min
   7350 recorded, 0 unevaluable, 514.3/min
   7400 recorded, 0 unevaluable, 514.8/min
   7450 recorded, 0 unevaluable, 515.1/min
   7500 recorded, 0 unevaluable, 515.4/min
   7550 recorded, 0 unevaluable, 515.8/min
   7600 recorded, 0 unevaluable, 515.8/min
   7650 recorded, 0 unevaluable, 516.0/min
   7700 recorded, 0 unevaluable, 516.0/min
   7750 recorded, 0 unevaluable, 516.0/min
   7800 recorded, 0 unevaluable, 516.3/min
   7850 recorded, 0 unevaluable, 516.8/min
   7900 recorded, 0 unevaluable, 517.1/min
   7950 recorded, 0 unevaluable, 517.5/min
   8000 recorded, 0 unevaluable, 517.9/min
   8050 recorded, 0 unevaluable, 518.3/min
   8100 recorded, 0 unevaluable, 518.7/min
   8150 recorded, 0 unevaluable, 518.7/min
   8200 recorded, 0 unevaluable, 518.8/min
   8250 recorded, 0 unevaluable, 518.9/min
   8300 recorded, 0 unevaluable, 519.1/min
   8350 recorded, 0 unevaluable, 518.8/min
   8400 recorded, 0 unevaluable, 518.9/min
   8450 recorded, 0 unevaluable, 519.0/min
   8500 recorded, 0 unevaluable, 519.3/min
   8550 recorded, 0 unevaluable, 519.6/min
   8600 recorded, 0 unevaluable, 520.2/min
   8650 recorded, 0 unevaluable, 520.3/min
   8700 recorded, 0 unevaluable, 520.0/min
   8750 recorded, 0 unevaluable, 519.1/min
   8800 recorded, 0 unevaluable, 518.0/min
   8850 recorded, 0 unevaluable, 518.0/min
   8900 recorded, 0 unevaluable, 518.2/min
   8950 recorded, 0 unevaluable, 518.4/min
   9000 recorded, 0 unevaluable, 518.2/min
   9050 recorded, 0 unevaluable, 518.7/min
   9100 recorded, 0 unevaluable, 519.2/min
   9150 recorded, 0 unevaluable, 519.0/min
   9200 recorded, 0 unevaluable, 519.4/min
   9250 recorded, 0 unevaluable, 519.3/min
   9300 recorded, 0 unevaluable, 519.4/min
   9350 recorded, 0 unevaluable, 519.7/min
   9400 recorded, 0 unevaluable, 519.4/min
   9450 recorded, 0 unevaluable, 520.0/min
   9500 recorded, 0 unevaluable, 520.4/min
   9550 recorded, 0 unevaluable, 520.9/min
   9600 recorded, 0 unevaluable, 521.3/min
   9650 recorded, 0 unevaluable, 521.9/min
   9700 recorded, 0 unevaluable, 522.3/min
   9750 recorded, 0 unevaluable, 522.8/min
   9800 recorded, 0 unevaluable, 523.4/min
   9850 recorded, 0 unevaluable, 524.1/min
   9900 recorded, 0 unevaluable, 524.8/min
   9950 recorded, 0 unevaluable, 525.5/min
   10000 recorded, 0 unevaluable, 526.4/min
   10050 recorded, 0 unevaluable, 527.1/min
   10100 recorded, 0 unevaluable, 527.8/min
   10150 recorded, 0 unevaluable, 528.8/min
   10200 recorded, 0 unevaluable, 529.5/min
   10250 recorded, 0 unevaluable, 529.9/min
   10300 recorded, 0 unevaluable, 530.7/min
   10350 recorded, 0 unevaluable, 531.4/min
   10400 recorded, 0 unevaluable, 532.2/min
   10450 recorded, 0 unevaluable, 533.0/min
   10500 recorded, 0 unevaluable, 533.9/min
   10550 recorded, 0 unevaluable, 534.6/min
   10600 recorded, 0 unevaluable, 535.4/min
   10650 recorded, 0 unevaluable, 536.0/min
   10700 recorded, 0 unevaluable, 536.8/min
   10750 recorded, 0 unevaluable, 537.8/min
   10800 recorded, 0 unevaluable, 538.5/min
   10850 recorded, 0 unevaluable, 539.3/min
   10900 recorded, 0 unevaluable, 540.2/min
   10950 recorded, 0 unevaluable, 541.0/min
   11000 recorded, 0 unevaluable, 541.9/min
   11050 recorded, 0 unevaluable, 542.7/min
   11100 recorded, 0 unevaluable, 543.4/min
   11150 recorded, 0 unevaluable, 544.3/min
   11200 recorded, 0 unevaluable, 545.2/min
   11250 recorded, 0 unevaluable, 546.0/min
   11300 recorded, 0 unevaluable, 546.9/min
   11350 recorded, 0 unevaluable, 547.6/min
   11400 recorded, 0 unevaluable, 548.4/min
   11450 recorded, 0 unevaluable, 549.2/min
   11500 recorded, 0 unevaluable, 549.9/min
   11550 recorded, 0 unevaluable, 550.8/min
   11600 recorded, 0 unevaluable, 551.6/min
   11650 recorded, 0 unevaluable, 551.9/min
   11700 recorded, 0 unevaluable, 552.7/min
   11750 recorded, 0 unevaluable, 553.4/min
   11800 recorded, 0 unevaluable, 554.0/min
   11850 recorded, 0 unevaluable, 554.8/min
   11900 recorded, 0 unevaluable, 555.5/min
   11950 recorded, 0 unevaluable, 556.3/min
   12000 recorded, 0 unevaluable, 557.0/min
   12050 recorded, 0 unevaluable, 557.8/min
   12100 recorded, 0 unevaluable, 558.6/min
   12150 recorded, 0 unevaluable, 559.3/min
   12200 recorded, 0 unevaluable, 560.1/min
   12250 recorded, 0 unevaluable, 560.8/min
   12300 recorded, 0 unevaluable, 561.6/min
   12350 recorded, 0 unevaluable, 562.3/min
   12400 recorded, 0 unevaluable, 563.0/min
   12450 recorded, 0 unevaluable, 563.5/min
   12500 recorded, 0 unevaluable, 564.1/min
   12550 recorded, 0 unevaluable, 564.8/min
   12600 recorded, 0 unevaluable, 565.5/min
   12650 recorded, 0 unevaluable, 565.9/min
   12700 recorded, 0 unevaluable, 566.5/min
   12750 recorded, 0 unevaluable, 567.2/min
   12800 recorded, 0 unevaluable, 567.9/min
   12850 recorded, 0 unevaluable, 568.3/min
   12900 recorded, 0 unevaluable, 568.8/min
   12950 recorded, 0 unevaluable, 569.3/min
   13000 recorded, 0 unevaluable, 570.1/min
   13050 recorded, 0 unevaluable, 570.4/min
   13100 recorded, 0 unevaluable, 570.5/min
   13150 recorded, 0 unevaluable, 570.8/min
   13200 recorded, 0 unevaluable, 570.7/min
   13250 recorded, 0 unevaluable, 570.8/min
   13300 recorded, 0 unevaluable, 571.0/min
   13350 recorded, 0 unevaluable, 571.5/min
   13400 recorded, 0 unevaluable, 572.0/min
   13450 recorded, 0 unevaluable, 572.6/min
   13500 recorded, 0 unevaluable, 573.2/min
   13550 recorded, 0 unevaluable, 573.7/min
   13600 recorded, 0 unevaluable, 574.3/min
   13650 recorded, 0 unevaluable, 574.8/min
   13700 recorded, 0 unevaluable, 575.4/min
   13750 recorded, 0 unevaluable, 576.0/min
   13800 recorded, 0 unevaluable, 576.7/min
   13850 recorded, 0 unevaluable, 577.3/min
   13900 recorded, 0 unevaluable, 577.9/min
   13950 recorded, 0 unevaluable, 578.4/min
   14000 recorded, 0 unevaluable, 579.0/min
   14050 recorded, 0 unevaluable, 579.5/min
   14100 recorded, 0 unevaluable, 579.9/min
   14150 recorded, 0 unevaluable, 580.4/min
   14200 recorded, 0 unevaluable, 580.9/min
   14250 recorded, 0 unevaluable, 581.5/min
   14300 recorded, 0 unevaluable, 581.9/min
   14350 recorded, 0 unevaluable, 582.2/min
   14400 recorded, 0 unevaluable, 582.7/min
   14450 recorded, 0 unevaluable, 583.1/min
   14500 recorded, 0 unevaluable, 583.6/min
   14550 recorded, 0 unevaluable, 584.2/min
   14600 recorded, 0 unevaluable, 584.7/min
   14650 recorded, 0 unevaluable, 585.4/min
   14700 recorded, 0 unevaluable, 585.9/min
   14750 recorded, 0 unevaluable, 586.4/min
   14800 recorded, 0 unevaluable, 586.9/min
   14850 recorded, 0 unevaluable, 587.4/min
   14900 recorded, 0 unevaluable, 587.6/min
   14950 recorded, 0 unevaluable, 587.9/min
   15000 recorded, 0 unevaluable, 588.4/min
   15050 recorded, 0 unevaluable, 588.5/min
   15100 recorded, 0 unevaluable, 588.9/min
   15150 recorded, 0 unevaluable, 589.3/min
   15200 recorded, 0 unevaluable, 589.7/min
   15250 recorded, 0 unevaluable, 590.2/min
   15300 recorded, 0 unevaluable, 590.5/min
   15350 recorded, 0 unevaluable, 590.9/min
   15400 recorded, 0 unevaluable, 591.4/min
   15450 recorded, 0 unevaluable, 591.7/min
   15500 recorded, 0 unevaluable, 592.1/min
   15550 recorded, 0 unevaluable, 592.5/min
   15600 recorded, 0 unevaluable, 592.8/min
   15650 recorded, 0 unevaluable, 593.2/min
   15700 recorded, 0 unevaluable, 593.6/min
   15750 recorded, 0 unevaluable, 594.1/min
   15800 recorded, 0 unevaluable, 594.2/min
   15850 recorded, 0 unevaluable, 594.4/min
   15900 recorded, 0 unevaluable, 594.5/min
