1,0,0,0;-1,1,0,0;1,-1,0,-1;-1,-1,-1,1;0,-1,1,1
1,0,0,0;-1,22,14,8;5,-15,-2,6;2,2,-3,-15;9,5,13,2
1,0,0,0;-1,5,3,4;-1,-3,-1,-1;3,2,-2,-4;0,1,4,0
1,0,0,0;-2,-1,-2,0;0,1,-1,-1;-3,0,-1,2;-3,-1,2,-2
1,0,0,0;-2,1,2,1;-1,-2,1,2;-2,-2,2,-2;-1,0,1,1
1,0,0,0;-2,20,13,10;6,-14,-6,2;4,6,-2,-18;6,6,11,-1
1,0,0,0;-2,5,1,3;1,-6,0,2;3,1,0,-4;2,-1,1,-2
1,0,0,0;-2,82,46,31;16,-64,-16,15;14,14,-17,-66;33,18,47,2
1,0,0,0;-3,-1,3,-3;5,4,-1,3;3,-5,-3,4;-3,-5,-2,-3
1,0,0,0;-3,3,0,-1;0,3,-2,2;0,1,3,-2;0,-2,3,-1
1,0,0,0;-4,37,14,-9;9,-54,-24,-40;-55,-38,-9,34;45,-33,-58,-57
1,0,0,0;-5,1,-3,5;-3,-1,5,1;4,4,5,-5;-3,-2,1,2
1,0,0,0;-6,-15,11,-53;-51,2,49,1;-41,-23,-20,47;25,4,4,-17
1,0,0,0;0,-1,0,2;-3,2,-2,-2;-1,-5,-2,0;0,2,-5,-3
1,0,0,0;0,0,-2,-1;1,-1,0,2;0,1,-1,1;-1,-1,-2,0
1,0,0,0;0,1,0,0;1,1,-1,-1;1,0,1,1;-1,-1,0,0
1,0,0,0;0,19,14,9;4,-16,-2,4;3,5,-2,-15;6,3,13,-2
1,0,0,0;0,3,-2,2;1,-1,3,0;1,-2,3,1;1,-2,-2,-3
1,0,0,0;0,5,4,2;2,-6,-2,3;0,1,-2,-4;1,0,5,-2
1,0,0,0;0,82,48,33;16,-63,-18,16;18,14,-18,-63;31,16,48,-2
1,0,0,0;1,-1,3,1;1,3,-1,-1;-1,1,2,2;1,2,1,-2
1,0,0,0;1,0,-1,1;0,-1,-1,0;-1,1,0,-1;-1,-1,0,0
1,0,0,0;1,1,2,0;1,-1,2,0;-2,-2,-1,-1;1,1,0,0
1,0,0,0;1,2,2,-2;1,-2,-1,-2;2,1,1,1;0,-1,1,1
1,0,0,0;1,3,0,0;2,0,4,0;5,0,6,0;6,0,6,0
1,0,0,0;1,6,1,1;1,-6,-1,3;3,0,-1,-3;2,1,2,-2
1,0,0,0;1,80,46,30;16,-62,-18,14;17,16,-14,-66;31,14,49,0
1,0,0,0;14,-9,-40,29;-17,-24,21,-48;21,27,-60,-16;1,11,-46,3
1,0,0,0;2,0,0,-2;5,0,-3,0;5,0,0,1;1,0,-3,0
1,0,0,0;2,1,1,-4;4,-4,3,0;3,3,1,1;-5,0,-5,-1
1,0,0,0;2,2,-1,-1;0,-1,0,2;0,-1,-1,-1;-2,-1,-1,-1
1,0,0,0;2,4,1,1;1,-3,0,2;3,0,1,-2;2,1,4,1
1,0,0,0;2,79,46,31;16,-63,-15,14;17,17,-17,-63;33,17,49,2
1,0,0,0;2,82,50,32;18,-66,-17,16;15,14,-16,-62;32,15,46,-1
1,0,0,0;3,0,-3,0;4,5,0,0;5,0,0,6;1,0,-1,0
1,0,0,0;3,0,0,1;1,0,-6,0;6,0,0,6;5,0,0,-3
1,0,0,0;31,-25,43,-22;42,52,-38,-45;44,0,-22,31;-29,-55,57,43
1,0,0,0;4,0,0,2;1,0,0,-6;4,2,0,0;1,0,0,0
1,0,0,0;41,-31,-31,23;19,39,-45,28;-41,6,-5,-20;-1,-26,28,-37
1,0,0,0;5,0,0,6;2,0,0,3;1,-2,0,0;1,0,5,0
1,0,0,0;5,3,-2,3;5,-2,-2,-5;5,-4,-1,0;-1,1,-3,0
1,0,0,0;6,0,0,-5;1,0,1,0;1,0,0,2;1,3,0,0
